,price
1,31.08
2,31.08
3,31.08
4,31.08
5,31.08
6,31.08
7,31.08
8,27.66
9,26.07
10,26.04
11,26.07
12,26.07
13,26.07
14,26.07
15,26.07
16,31.08
17,31.08
18,32.14
19,31.08
20,31.08
21,31.08
22,30.62
23,30.62
24,30.62
25,30.62
26,30.62
27,30.62
28,30.62
29,30.62
30,30.62
31,30.62
32,26.14
33,23.27
34,23.27
35,23.27
36,23.27
37,23.27
38,23.27
39,23.27
40,30.62
41,30.62
42,32.34
43,30.62
44,30.62
45,30.62
46,31.94
47,31.94
48,31.94
49,31.94
50,31.94
51,31.94
52,31.94
53,31.94
54,31.94
55,31.94
56,24.64
57,1.37
58,1.37
59,1.37
60,1.37
61,1.37
62,1.36
63,1.37
64,26.75
65,27.79
66,27.79
67,27.79
68,27.79
69,27.79
70,29.33
71,29.33
72,29
73,29
74,29
75,29
76,29
77,29
78,29.21
79,29.33
80,0.01
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,27.92
89,30.15
90,30.15
91,30.15
92,30.15
93,30.15
94,32.47
95,32.47
96,32.47
97,32.47
98,32.47
99,32.47
100,32.47
101,32.47
102,32.47
103,32.47
104,1.47
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,29.42
113,33.07
114,33.07
115,33.07
116,33.07
117,33.07
118,31.08
119,31.08
120,31.08
121,31.08
122,31.08
123,31.08
124,31.08
125,31.08
126,31.08
127,31.08
128,26.18
129,25.04
130,26.07
131,26.26
132,26.26
133,26.26
134,26.26
135,26.26
136,30.18
137,32.04
138,32.04
139,32.04
140,32.04
141,32.04
142,34.57
143,34.57
144,34.57
145,34.25
146,34.23
147,33.55
148,33.55
149,34.25
150,34.57
151,34.57
152,29.5
153,28.99
154,28.99
155,28.99
156,28.99
157,28.99
158,28.99
159,28.99
160,34.71
161,35.52
162,43.39
163,35.52
164,35.52
165,35.52
166,40.84
167,39.74
168,39.74
169,39.74
170,39.28
171,37.01
172,38.24
173,38.8
174,39.74
175,39.74
176,31.35
